eez_code,offset_bucket,trip_count,observer_trips
FJ,1,914,998
FJ,2,75,998
FJ,3,9,998
PF,1,453,464
PF,2,11,464
TO,1,273,310
TO,2,29,310
TO,3,8,310
MH,1,216,234
MH,2,18,234
NC,1,134,144
NC,2,10,144
VU,1,64,85
VU,2,16,85
VU,3,5,85
CK,1,39,49
CK,2,10,49
SB,1,30,45
SB,2,14,45
SB,3,1,45
I8,1,40,43
I8,2,3,43
I7,1,23,35
I7,2,9,35
I7,3,3,35
I5,1,16,24
I5,2,8,24
WS,1,20,23
WS,2,3,23
I2,1,17,19
I2,2,2,19
I4,1,15,15
FM,1,11,13
FM,2,1,13
FM,3,1,13
H5,1,13,13
IW,1,7,13
IW,2,4,13
IW,3,2,13
GL,1,11,12
GL,2,1,12
TK,1,8,10
TK,2,2,10
PG,1,8,9
PG,2,1,9
TV,1,7,9
TV,2,1,9
TV,3,1,9
H4,1,5,8
H4,2,3,8
I3,1,8,8
I6,2,1,6
I6,3,5,6
NU,1,4,6
NU,2,2,6
AS,1,5,5
I9,1,3,3
LN,1,3,3
PW,1,2,2
WF,1,2,2
HW,1,1,1
I1,1,1,1
MA,1,1,1
