entity,schema,db_table,row_count
HandlineActivity,log,log.sets_hl,16101
HandlineLogsheet,log,log.trips_hl,1066
LonglineActivity,log,log.sets_ll,2550874
LonglineLogsheet,log,log.trips_ll,99609
NetShareReceive,log,log.net_share_receives,418
PoleAndLineActivity,log,log.sets_pl,381861
PoleAndLineLogsheet,log,log.trips_pl,21976
PurseseineActivity,log,log.sets_ps,2565840
PurseseineLogsheet,log,log.trips_ps,70700
SnapperActivity,log,log.sets_ds,22607
SnapperLogsheet,log,log.trips_ds,4162
Transshipment,log,log.transshipments,19839
CarrierObserverTransshipmentActivity,obsv,obsv.carrier_transshipment,1469
CarrierObserverTrip,obsv,obsv.carrier_trip,129
ObserverLonglineSet,obsv,obsv.l_set,125100
ObserverLonglineSetCatch,obsv,obsv.l_setcatch,5765231
ObserverPoleAndLineDaylog,obsv,obsv.p_daylog,21743
ObserverPurseseineDaylog,obsv,obsv.s_daylog,6484718
ObserverTrip,obsv,obsv.trip,38344
TaggingBaitCaptureSet,tagging,tagging.bait_capture_sets,417
